1269001  Jack    87  70  71  92
1269002  Jo      67  77  75  92
1269003  Akira   37  60  71  52
1269004  Kouichi 79  61  82  70
1269005  Georgia 77  60  75  55
1269006  Linus   88  66  75  45
1269007  Lucy    43  79  64  18
1269008  Boss    45  46  75  98
1269009  Mary    99  96  95  99
1269010  Makoto  40  25  37  27
1269011  Hiroshi 70  95  96  68
1269012  Max     34  58  52  45
1269013  Show    99  69  77  60
1269014  Kohei   81  45  46  75
1269015  Yasu    29  37  40  20
1269016  Kazu    95  97  90  95
